Date,Price,Open,High,Low,Volume
2020-01-28,29378.63,29525.56,29529.6,29347.09,250.93
2020-01-27,29552.99,29628.84,29648.35,29552.99,444.01
2020-01-24,29628.84,29628.84,29628.84,29628.84,254.81
2020-01-23,29591.29,29591.29,29591.29,29591.29,254.81
2020-01-22,29458.21,29461.2,29488.93,29244.41,315.67
2020-01-21,29462.76,29713.61,29723.75,29360.13,272.84
2020-01-20,29710.56,29618.52,29713.84,29545.93,266.95
2020-01-17,29618.52,29352.13,29623.55,29331.35,324.97
2020-01-16,29352.13,29062.5,29497.97,29062.5,387.16
2020-01-15,29062.5,29030.41,29094.14,28855.22,360.08
2020-01-14,29283.15,29633.58,29812.97,29037.12,666.78
2020-01-13,29633.58,29415.39,29909.06,29415.39,348.24
2020-10-01,29415.39,29393.88,29585.13,28858.83,280.86
2020-09-01,29395.57,28562.48,29484.1,28539.16,693.19
2020-08-01,28562.48,27579.57,28562.48,27579.57,741.82
2020-07-01,27586.93,27339.68,27699.59,27295.49,446.33
2020-06-01,27339.68,26968.79,27339.68,26968.68,520.39
2020-03-01,26968.79,26867.79,26978.46,26867.79,608.86
2020-02-01,26867.79,26845.79,26867.79,26657.32,263.20
2019-12-31,26842.07,26609.34,27357.84,26608.56,257.01
2019-12-30,26609.34,26416.48,26609.34,26240.29,382.81
2019-12-27,26416.48,26090.88,26419.73,26050.44,222.48
2019-12-24,26092.82,26115.8,26124.73,26018.13,324.38
2019-12-23,26115.8,26526.35,26526.35,26102.21,188.79
2019-12-20,26526.35,26584.45,26584.45,26408.32,341.61
2019-12-19,26584.45,26665.73,26684.74,26536.01,304.21
2019-12-18,26665.73,26660.44,26691.44,26646.64,232.68
2019-12-17,26660.44,26695.18,27006.97,26643.1,331.91
2019-12-16,26695.18,26536.21,26695.18,26521.38,170.52
2019-12-13,26536.21,26569.8,26627.68,26503.92,155.34
2019-12-12,26569.8,26434.0,26579.09,26434.0,319.69
2019-11-12,26434.0,26384.21,26445.8,26332.35,180.06
2019-10-12,26384.21,26705.7,26716.38,26383.36,196.29
2019-09-12,26681.31,26855.52,26855.52,26582.25,192.67
2019-06-12,26855.52,26913.7,26926.72,26746.03,197.03
2019-05-12,26913.7,26941.56,26948.42,26889.48,206.73
2019-04-12,26938.58,26944.32,26956.43,26918.12,112.88
2019-03-12,26944.32,27000.35,27030.98,26833.39,189.01
2019-02-12,26990.59,26999.69,27025.2,26931.13,246.49
2019-11-29,27002.15,26824.5,27028.05,26823.81,227.16
2019-11-28,26824.5,26790.1,26863.97,26790.1,303.77
2019-11-27,26790.1,26883.33,26893.32,26782.84,189.86
2019-11-26,26883.33,27035.78,27096.53,26883.33,209.97
2019-11-25,27035.78,26991.42,27109.29,26980.27,230.65
2019-11-22,26991.42,26872.09,27039.8,26849.26,207.26
2019-11-21,26872.09,26776.15,26872.09,26721.99,239.22
2019-11-20,26776.15,26750.49,27035.28,26750.49,267.31
2019-11-19,26739.44,26691.09,26861.14,26659.9,394.35
2019-11-18,26691.09,26851.68,26851.68,26666.4,307.88
2019-11-15,26851.68,26883.67,26984.06,26724.43,469.99
2019-11-14,26843.11,26339.11,26843.11,26339.11,624.84
2019-11-13,26357.61,26456.39,26456.39,26338.25,610.56
2019-12-11,26456.39,26314.49,26512.6,26314.49,378.35
2019-08-11,26314.49,26188.24,26333.84,26143.12,432.47
2019-07-11,26188.24,26223.66,26242.53,26172.35,726.19
2019-06-11,26223.66,26364.81,26367.19,26223.66,232.09
2019-05-11,26375.35,26401.06,26447.96,26299.86,304.28
2019-04-11,26401.06,26293.3,26433.95,26293.3,368.18
2019-01-11,26293.3,26355.35,26378.0,26217.91,252.37
2019-10-31,26355.35,26310.77,26363.1,26227.6,347.80
2019-10-30,26310.77,26236.04,26385.37,26199.51,156.85
2019-10-29,26244.39,26384.45,26388.4,26244.39,267.90
2019-10-28,26384.45,26348.73,26394.37,26348.73,485.89
2019-10-25,26348.73,26357.24,26360.2,26113.88,250.54
2019-10-24,26357.24,26397.94,26410.84,26350.07,177.04
2019-10-23,26397.94,26365.83,26410.91,26294.57,168.43
2019-10-22,26365.83,26390.08,26409.34,26353.55,519.76
2019-10-21,26390.08,26448.62,26449.53,26382.21,135.80
2019-10-18,26448.62,26456.29,26464.61,26374.84,310.56
2019-10-17,26456.29,26472.2,26472.2,26429.94,144.08
2019-10-16,26472.2,26513.65,26574.38,26470.68,138.47
2019-10-15,26513.65,26557.44,26567.67,26510.14,174.41
2019-10-14,26557.44,26533.78,26607.06,26506.56,129.08
2019-11-10,26533.78,26583.75,26702.39,26533.14,117.38
